-25.0;757.4;767.6;777.7;787.8;798.0;808.1;818.2;828.3;838.4;848.5;858.7
-24.8;757.6;767.7;777.8;788.0;798.1;808.2;818.3;828.5;838.6;848.7;858.8
-24.6;757.7;767.9;778.0;788.1;798.2;808.4;818.5;828.6;838.7;848.8;858.9
-24.4;757.9;768.0;778.1;788.3;798.4;808.5;818.6;828.7;838.9;849.0;859.1
-24.2;758.0;768.1;778.3;788.4;798.5;808.6;818.8;828.9;839.0;849.1;859.2
-24.0;758.1;768.3;778.4;788.5;798.7;808.8;818.9;829.0;839.1;849.2;859.3
-23.8;758.3;768.4;778.6;788.7;798.8;808.9;819.0;829.2;839.3;849.4;859.5
-23.6;758.4;768.6;778.7;788.8;798.9;809.1;819.2;829.3;839.4;849.5;859.6
-23.4;758.6;768.7;778.8;789.0;799.1;809.2;819.3;829.4;839.6;849.7;859.8
-23.2;758.7;768.9;779.0;789.1;799.2;809.4;819.5;829.6;839.7;849.8;859.9
-23.0;758.9;769.0;779.1;789.3;799.4;809.5;819.6;829.7;839.8;849.9;860.0
-22.8;759.0;769.1;779.3;789.4;799.5;809.6;819.7;829.9;840.0;850.1;860.2
-22.6;759.2;769.3;779.4;789.5;799.7;809.8;819.9;830.0;840.1;850.2;860.3
-22.4;759.3;769.4;779.6;789.7;799.8;809.9;820.0;830.1;840.3;850.4;860.5
-22.2;759.5;769.6;779.7;789.8;799.9;810.1;820.2;830.3;840.4;850.5;860.6
-22.0;759.6;769.7;779.8;790.0;800.1;810.2;820.3;830.4;840.5;850.6;860.7
-21.8;759.7;769.9;780.0;790.1;800.2;810.3;820.5;830.6;840.7;850.8;860.9
-21.6;759.9;770.0;780.1;790.3;800.4;810.5;820.6;830.7;840.8;850.9;861.0
-21.4;760.0;770.2;780.3;790.4;800.5;810.6;820.7;830.8;841.0;851.1;861.2
-21.2;760.2;770.3;780.4;790.5;800.7;810.8;820.9;831.0;841.1;851.2;861.3
-21.0;760.3;770.4;780.6;790.7;800.8;810.9;821.0;831.1;841.2;851.3;861.4
-20.8;760.5;770.6;780.7;790.8;800.9;811.1;821.2;831.3;841.4;851.5;861.6
-20.6;760.6;770.7;780.9;791.0;801.1;811.2;821.3;831.4;841.5;851.6;861.7
-20.4;760.8;770.9;781.0;791.1;801.2;811.3;821.4;831.5;841.7;851.8;861.9
-20.2;760.9;771.0;781.1;791.3;801.4;811.5;821.6;831.7;841.8;851.9;862.0
-20.0;761.0;771.2;781.3;791.4;801.5;811.6;821.7;831.8;841.9;852.0;862.1
-19.8;761.2;771.3;781.4;791.5;801.7;811.8;821.9;832.0;842.1;852.2;862.3
-19.6;761.3;771.5;781.6;791.7;801.8;811.9;822.0;832.1;842.2;852.3;862.4
-19.4;761.5;771.6;781.7;791.8;801.9;812.0;822.2;832.3;842.4;852.5;862.5
-19.2;761.6;771.7;781.9;792.0;802.1;812.2;822.3;832.4;842.5;852.6;862.7
-19.0;761.8;771.9;782.0;792.1;802.2;812.3;822.4;832.5;842.6;852.7;862.8
-18.8;761.9;772.0;782.1;792.3;802.4;812.5;822.6;832.7;842.8;852.9;863.0
-18.6;762.1;772.2;782.3;792.4;802.5;812.6;822.7;832.8;842.9;853.0;863.1
-18.4;762.2;772.3;782.4;792.5;802.6;812.8;822.9;833.0;843.1;853.2;863.2
-18.2;762.3;772.5;782.6;792.7;802.8;812.9;823.0;833.1;843.2;853.3;863.4
-18.0;762.5;772.6;782.7;792.8;802.9;813.0;823.1;833.2;843.3;853.4;863.5
-17.8;762.6;772.7;782.9;793.0;803.1;813.2;823.3;833.4;843.5;853.6;863.7
-17.6;762.8;772.9;783.0;793.1;803.2;813.3;823.4;833.5;843.6;853.7;863.8
-17.4;762.9;773.0;783.1;793.3;803.4;813.5;823.6;833.7;843.8;853.8;863.9
-17.2;763.1;773.2;783.3;793.4;803.5;813.6;823.7;833.8;843.9;854.0;864.1
-17.0;763.2;773.3;783.4;793.5;803.6;813.7;823.8;833.9;844.0;854.1;864.2
-16.8;763.4;773.5;783.6;793.7;803.8;813.9;824.0;834.1;844.2;854.3;864.4
-16.6;763.5;773.6;783.7;793.8;803.9;814.0;824.1;834.2;844.3;854.4;864.5
-16.4;763.6;773.8;783.9;794.0;804.1;814.2;824.3;834.4;844.5;854.5;864.6
-16.2;763.8;773.9;784.0;794.1;804.2;814.3;824.4;834.5;844.6;854.7;864.8
-16.0;763.9;774.0;784.2;794.3;804.4;814.5;824.6;834.6;844.7;854.8;864.9
-15.8;764.1;774.2;784.3;794.4;804.5;814.6;824.7;834.8;844.9;855.0;865.1
-15.6;764.2;774.3;784.4;794.5;804.6;814.7;824.8;834.9;845.0;855.1;865.2
-15.4;764.4;774.5;784.6;794.7;804.8;814.9;825.0;835.1;845.2;855.2;865.3
-15.2;764.5;774.6;784.7;794.8;804.9;815.0;825.1;835.2;845.3;855.4;865.5
-15.0;764.7;774.8;784.9;795.0;805.1;815.2;825.3;835.3;845.4;855.5;865.6
-14.8;764.8;774.9;785.0;795.1;805.2;815.3;825.4;835.5;845.6;855.7;865.7
-14.6;764.9;775.1;785.2;795.3;805.4;815.4;825.5;835.6;845.7;855.8;865.9
-14.4;765.1;775.2;785.3;795.4;805.5;815.6;825.7;835.8;845.9;855.9;866.0
-14.2;765.2;775.3;785.4;795.5;805.6;815.7;825.8;835.9;846.0;856.1;866.2
-14.0;765.4;775.5;785.6;795.7;805.8;815.9;826.0;836.1;846.1;856.2;866.3
-13.8;765.5;775.6;785.7;795.8;805.9;816.0;826.1;836.2;846.3;856.4;866.4
-13.6;765.7;775.8;785.9;796.0;806.1;816.2;826.2;836.3;846.4;856.5;866.6
-13.4;765.8;775.9;786.0;796.1;806.2;816.3;826.4;836.5;846.6;856.6;866.7
-13.2;766.0;776.1;786.2;796.3;806.3;816.4;826.5;836.6;846.7;856.8;866.9
-13.0;766.1;776.2;786.3;796.4;806.5;816.6;826.7;836.8;846.8;856.9;867.0
-12.8;766.3;776.4;786.4;796.5;806.6;816.7;826.8;836.9;847.0;857.1;867.1
-12.6;766.4;776.5;786.6;796.7;806.8;816.9;827.0;837.0;847.1;857.2;867.3
-12.4;766.5;776.6;786.7;796.8;806.9;817.0;827.1;837.2;847.3;857.3;867.4
-12.2;766.7;776.8;786.9;797.0;807.1;817.1;827.2;837.3;847.4;857.5;867.6
-12.0;766.8;776.9;787.0;797.1;807.2;817.3;827.4;837.5;847.5;857.6;867.7
-11.8;767.0;777.1;787.2;797.3;807.3;817.4;827.5;837.6;847.7;857.8;867.8
-11.6;767.1;777.2;787.3;797.4;807.5;817.6;827.7;837.7;847.8;857.9;868.0
-11.4;767.3;777.4;787.5;797.5;807.6;817.7;827.8;837.9;848.0;858.0;868.1
-11.2;767.4;777.5;787.6;797.7;807.8;817.9;827.9;838.0;848.1;858.2;868.3
-11.0;767.6;777.6;787.7;797.8;807.9;818.0;828.1;838.2;848.2;858.3;868.4
