-25.0;605.6;616.0;626.4;636.8;647.1;657.5;667.8;678.1;688.4;698.7;709.0;719.3;729.6;739.9;750.2;760.4;770.7;780.9
-24.8;605.8;616.2;626.6;637.0;647.3;657.6;668.0;678.3;688.6;698.9;709.2;719.5;729.8;740.1;750.3;760.6;770.8;781.1
-24.6;606.0;616.4;626.8;637.1;647.5;657.8;668.2;678.5;688.8;699.1;709.4;719.7;730.0;740.2;750.5;760.8;771.0;781.3
-24.4;606.2;616.6;627.0;637.3;647.7;658.0;668.4;678.7;689.0;699.3;709.6;719.9;730.2;740.4;750.7;760.9;771.2;781.4
-24.2;606.4;616.8;627.2;637.5;647.9;658.2;668.5;678.9;689.2;699.5;709.8;720.1;730.3;740.6;750.9;761.1;771.4;781.6
-24.0;606.6;617.0;627.4;637.7;648.1;658.4;668.7;679.1;689.4;699.7;710.0;720.2;730.5;740.8;751.0;761.3;771.5;781.8
-23.8;606.8;617.2;627.6;637.9;648.3;658.6;668.9;679.2;689.5;699.8;710.1;720.4;730.7;741.0;751.2;761.5;771.7;782.0
-23.6;607.0;617.4;627.8;638.1;648.5;658.8;669.1;679.4;689.7;700.0;710.3;720.6;730.9;741.1;751.4;761.6;771.9;782.1
-23.4;607.2;617.6;627.9;638.3;648.6;659.0;669.3;679.6;689.9;700.2;710.5;720.8;731.1;741.3;751.6;761.8;772.1;782.3
-23.2;607.4;617.8;628.1;638.5;648.8;659.2;669.5;679.8;690.1;700.4;710.7;721.0;731.2;741.5;751.8;762.0;772.2;782.5
-23.0;607.6;618.0;628.3;638.7;649.0;659.4;669.7;680.0;690.3;700.6;710.9;721.1;731.4;741.7;751.9;762.2;772.4;782.7
-22.8;607.8;618.2;628.5;638.9;649.2;659.6;669.9;680.2;690.5;700.8;711.1;721.3;731.6;741.9;752.1;762.4;772.6;782.8
-22.6;608.0;618.4;628.7;639.1;649.4;659.7;670.1;680.4;690.7;701.0;711.2;721.5;731.8;742.0;752.3;762.5;772.8;783.0
-22.4;608.2;618.6;628.9;639.3;649.6;659.9;670.2;680.6;690.8;701.1;711.4;721.7;732.0;742.2;752.5;762.7;772.9;783.2
-22.2;608.4;618.8;629.1;639.5;649.8;660.1;670.4;680.7;691.0;701.3;711.6;721.9;732.1;742.4;752.6;762.9;773.1;783.4
-22.0;608.6;619.0;629.3;639.7;650.0;660.3;670.6;680.9;691.2;701.5;711.8;722.1;732.3;742.6;752.8;763.1;773.3;783.5
-21.8;608.8;619.2;629.5;639.9;650.2;660.5;670.8;681.1;691.4;701.7;712.0;722.2;732.5;742.8;753.0;763.2;773.5;783.7
-21.6;609.0;619.4;629.7;640.0;650.4;660.7;671.0;681.3;691.6;701.9;712.2;722.4;732.7;742.9;753.2;763.4;773.7;783.9
-21.4;609.2;619.6;629.9;640.2;650.6;660.9;671.2;681.5;691.8;702.1;712.3;722.6;732.9;743.1;753.4;763.6;773.8;784.1
